CATEG,,,ALL,,SOURCE,
A,B,C,11,,COCA:1998:MOV Sucker,"  0%:  / 100  ! You're not? I'm sorry. Of Course! You're a queer. No, it's okay, Buccholz. I've got nothing against your kind... as long as they stay away from got a great joke for you. Why did the queer want to be buried face down? So his friends could stop by for friends could stop by for a cold! That's it for you Buccholz! I'm going to sue! Security! Security! Get this man! Get him! Things will be cozy. Here, that's gon na be fine"
A,B,C,12,,COCA:1998:MOV ... for a Portrait of Francis Bacon,"  0%:  / 100  's going to buy Mother a drink? I'll get these. Deakin, what'll you have? I need a big one to calm me down. Then I'll tell all. So what's new ! The sphincter without a secret's come over all queer. Give her a fag and pull up a pouffe for her to sit pouffe for her to sit on. What's got your knickers in a twist, then? It's her ladyship. I think she might be going steady. What are you talking about? Do I know this woman? You most"
A,B,C,13,,COCA:1998:MOV ...of Western Civilization Part III,"  0%:  / 100  Well, my name's Spinner and I got it when I was 13 because... I used to do a lot of speed and I was always spun out. WOMAN: So, what's your name? '' '' Spoon '' - '' Little Tommy, the Queer. '' - WOMAN: Okay, all right! - I'm Troll ! - I'm Troll. - And I'm Hamburger. Or Mr. Potatohead! - My name's Nate and I'm 15. - I'm Justin. I'm 16. - My name's Herk. - My name"
A,B,C,14,,COCA:1998:MOV ...of Western Civilization Part III,"  0%:  / 100  your arms, your arms look pretty clean. Certainly are, just the scars. - Just the battle scars! - WOMAN: Yeah! I do n't do drugs. Uh-huh... Used to. Quit. WOMAN: So where did you meet Little Tommy the Queer? At an NA meeting, actually... - WOMAN: NA? - WOMAN: NA? - Yeah! - WOMAN: Narcotics Anonymous? - BOTH: That's right. - WOMAN: And you're 15? - Yeah! - WOMAN: What were you kicking? - Speed. - WOMAN:"
A,B,C,15,,COCA:1998:MOV The Object of My Affection,"  0%:  / 100  's a lesbian and she's very proud. There you go. Yo soy la presidenta de the New York Mothers of Latino Lesbians. Mrs Ochoa is the president of the New York Mothers of Latino Lesbians. you. You're a good mother. We're queer! We're here! Get used to it! Don't fuck with ! Do n't fuck with us! See, Mr Shapiro, my problem is I love this woman and I want to live with her. - You make a living? - Sure, I'm a lawyer. Oh! Lawyers are"
A,B,C,16,,COCA:1998:MOV Chasing Andy,"  0%:  / 100  you without wanting to hold you. I ca n't... I ca n't look into your eyes without feeling that... that longing you only read about in trashy romance novels. I ca n't talk to you without everything you are. And I know this will probably queer our friendship... no pun intended... But I had to say it. had to say it.' Cause I've never felt this way before. And I do n't care. I like who I am because of it. And if bringing this to light means we ca n't hang out anymore, then"
A,B,C,17,,COCA:1998:MOV Chasing Andy,"  0%:  / 100  Look, man. Cohee Lundin is pulling your chain, okay? The fact you even believe him makes you look like a complete fuckin' idiot. I'm getting your back, asshole! People do n't . '' What if it got out that she's queer as well? How's that gon na make you look? - Well you look? - Well, I give a shit what people think. - Fuck! All right. What if she's carrying a disease? - Fuck you! - What? Oh, it's not possible that she's all"
A,B,C,18,,COCA:1998:MOV Gods and Monsters,"  0%:  / 100  , fear of the unknown... all part of the great gulf that stands between us two. Am I right in assuming that you have little experience with men of my persuasion? - No teammates in football? Korea? You must think that the whole world is queer. Well, you know what? It's not. And war certainly not. And war certainly is n't. Oh, there may be no atheists in the foxholes, but there are, occasionally, lovers. You're talkin' through your hat now. - No, I'm not. I was"
A,B,C,19,,COCA:1998:MOV Pecker,"  0%:  / 100  's Matt the Thief. He's barely legal, but he's got the beef. The kindest face you'll ever find... but if you own a store, he'll shoplift you blind. You ruined . - Billy Heckman! - Dad? You are queer! No, Mom, I'm trade. The queers blow me. The queers blow me. I do n't blow them. I'm still straight. You get off that bar and cover yourself! Come here. Watch your beer, sir. Come on. We're getting out of here. Tina"
A,B,C,20,,COCA:1997:MOV Amy Foster,"  0%:  / 100  ever thought of him. Her life continued, without variation. Each Sunday, she had to visit her parents, Mary and Isaac Foster. You're late. - Mother, Father... - Why does she comes to help her mother. - She's a queer sort. Is it any wonder, the way you treat her? You you treat her? You'd silence the birds in the trees. - I put food on her plate... - She puts food on our table! - I'll say what I want in my house. - Your house? It"
A,B,C,21,,COCA:1997:MOV As Good as It Gets,"  0%:  / 100  I'll take him. I'll see you tomorrow. Let's not drag this out. If there's some health foundation for people like you, let me know. - Last-word freak. - Good luck ? - Yeah. I'm going to give my queer neighbour a lift to Baltimore. What I did for you... It's for you... It's working out? What you did changed my life. No! No thank-you note. Well, part of what I said in this entire history of my life is that you have done more for my mother,"
A,B,C,22,,COCA:2002:MOV On_Line,"  0%:  / 100  the window, so... why do n't you just tell me what's wrong? It's just... I thought when God made you a fag, he was supposed to install gaydar as part of the standard mine doesn't work or else I'm the only queer in all of Ohio. Oh, honey. I mean, I know I mean, I know that you live in North Bumfuck or whatever, but if you're lonely, why do n't you just go to Homo. Com or Queers-R-Us or something? What's the point? It's like watching the"
A,B,C,23,,COCA:2002:MOV The Magnificent Ambersons,  0%:  / 100  Ms. Morgan is from out of town. Perhaps you'd like to take her dancing. You've pretty well done your duty here. I'd be delighted. May! Who is that? I did my mother present him to me. You mean the queer looking guy? I mean the aristocratic guy. That's my uncle George That's my uncle George. The honorable George Amberson? I thought everybody knew him. It looks as if everyone ought to know him. It seems to run in your family. I suppose most people do. Out in this part
A,B,C,24,,COCA:2002:MOV The Magnificent Ambersons,"  0%:  / 100  Alfred. - I would love to dance with you. - Right. And... I ca n't believe that fellow. He just sweeps in here... and takes that girl right away! Eugene, you're for a bit of freshness! What was? That queer guy waving at me like that. He meant me. Oh. You me. Oh. You seem to know too many people. Papa does. You know, he used to live here in this town... before I was born. Where do you live now? We do n't live anywhere. What"
A,B,C,25,,COCA:2002:MOV The Magnificent Ambersons,"  0%:  / 100  - No, he is an inventor. - What's he invented? Lately, he's been working on a kind of horseless carriage. Look here, who sent you those flowers you keep making such a He did. - Who's he? - The queer looking guy? - Him? I suppose he is some widower. Yes is some widower. Yes, he is a widower. I ought to have told you before. He is my father. Well, that's a horse on me. If I had known he was your father... of course,"
A,B,C,26,,COCA:2002:MOV The Magnificent Ambersons,"  0%:  / 100  them. I should be sorry to see such a thing happen to Eugene. I should n't be surprised if there was a law... forbidding the sale of automobiles. Just the way there is with... Summer goes once it starts to die. Isn't it queer how your mother can use such words? What words you talking about? words you talking about? Words like... "" die and dying "". I do n't see how she can bear to use them so soon after your poor father... - It seems you are using them yourself! - I? Never"
A,B,C,27,,COCA:2002:MOV The Magnificent Ambersons,"  0%:  / 100  anymore. After this, I'm just going to stay out of his way. Darling, tell me something. Why do n't you like Eugene? I've had the feeling from the very first that you I know that feeling's right. That seems so queer to me... given how you feel about his daughter! How do I daughter! How do I feel about his daughter? You've certainly never looked at another girl since Lucy Morgan came to town! And surely, you've been best friends. What of it? Lt's like what was said by"
A,B,C,28,,COCA:2002:MOV Taboo,"  0%:  / 100  big guy! Elizabeth. It's time for Elizabeth's greatest hits. - I'm going to enjoy this. - Nice. Champagne, anyone? Good job, actually. - Here's to living in girls gone bad. We're here, we're queer and we're not going shopping. - Kate? - Fuck it, ? - Fuck it, I'm thirsty. - Something does n't feel right. - Lt feels very right. - Come here, you little bitch. - I thought you'd never ask. I do n't ask. I am"
A,B,C,29,,COCA:2002:MOV Confessions of a Dangerous Mind,"  0%:  / 100  very few guys... I'd like to have on my side in a street fight. CHUCK: You wan na fight, you big pile of shit? [Thud] [Grunting_and_shouting] You're a pretty angry young fella. , though. CHUCK: Hey, screw off, queer. Don't think I haven't seen you watching me... in that watching me... in that bar for a week now. Kind of a loner, I'd say. Fairly bright, a tad antisocial. Mad at the world. Can I buy you lunch? [Sighs] Look, there's a schoolyard"
A,B,C,30,,COCA:2002:MOV ...Survive as an Independent Artist,"  0%:  / 100  is this way. And the more things you can do two at once really helps. Like this whole truck, this truck really helps to get the word out about the band and in the daytime I move American artist, West Coast artist, female artist, queer artist, living artist. Great American living queer West Coast female artist? West Coast female artist? Yeah. I do n't really consider myself someone that does art. I feel more like I'm someone who takes photographs and shows those photographs in art galleries. I use to think I was an artist,"
A,B,C,31,,COCA:2002:MOV ...Survive as an Independent Artist,"  0%:  / 100  can do two at once really helps. Like this whole truck, this truck really helps to get the word out about the band and in the daytime I move furniture. An artist, an American artist, , queer artist, living artist. Great American living queer West Coast female artist? Yeah. I don't really consider myself someone n't really consider myself someone that does art. I feel more like I'm someone who takes photographs and shows those photographs in art galleries. I use to think I was an artist, but my definition of what's an artist is"
A,B,C,32,,COCA:2002:MOV The Trip,"  0%:  / 100  Come on, I was too drunk do not remember anything You said: "" I'm so hot, I wanted My fiancee was here. "" I do not know who is speaking. You know very well you because you had been drinking. I'm not queer like you, ok? Well, I'm very happy for you. very happy for you. - Hello! - Tommy? Listen, he does not want to talk to you. Why do not you demand in classified and calls another? American Psychiatric Association has classified homosexuality as a mental illness. Your"
A,B,C,33,,COCA:2002:MOV The Laramie Project,"  0%:  / 100  the gay people, queens? You know, the run-around, faggot-type people. They're more like the one's who'II throw a bale of hay, jump on a horse, brand them and kick ass. Know I always say you don't fuck with a Wyoming queer' cause they'II fucking kick you in your ass. - But that's . - But that's not the point. - What is the point? people of Wyoming do not give a damn one way or the other if you're gay if you're straight, bisexual, trisexuaI, it does n't matter"
A,B,C,34,,COCA:2002:MOV The Laramie Project,"  0%:  / 100  in charge of the investigation. This confession was recorded two days after the attack. - So, you guys go to the Fireside, right? - Yeah. Where do you go after you leave the Fireside home. What's he look like? like a queer. - He looks like a queer? - Yeah, Iike a fag Yeah, Iike a fag, you know? Okay, so, how'd you meet him? The fag? The queer guy? We were meeting at the bar. He asked us what we were drinking and doing. So what"
A,B,C,35,,COCA:2002:MOV The Laramie Project,"  0%:  / 100  confession was recorded two days after the attack. - So, you guys go to the Fireside, right? - Yeah. Where do you go after you leave the Fireside? Some Kid wanted a ride home ? like a queer. - He looks like a queer? - Yeah, Iike a fag, you know? Okay, so know? Okay, so, how'd you meet him? The fag? The queer guy? We were meeting at the bar. He asked us what we were drinking and doing. So what happened after you met him? He"
A,B,C,36,,COCA:2002:MOV The Laramie Project,"  0%:  / 100  you go after you leave the Fireside? Some Kid wanted a ride home. What's he look like? like a queer. - He looks like a queer? - Yeah, Iike a fag, you how'd you meet him? The fag? The queer guy? We were meeting at the bar. He asked us what we He asked us what we were drinking and doing. So what happened after you met him? He wanted a ride home, and I just thought, "" The dude's drunk, let's just take him home. "" When did"
A,B,C,37,,COCA:2002:MOV Laurel Canyon,"  0%:  / 100  ? "" Jesus, Claudia. you're really warming me up. What? I love capitalism as much as the next guy, Claudia, but this is off the tracks. Your commerce has so fired my up straight. Listen Jane. The age of the queer is never happening okay? Get real, this is commerce. Honestly Claudia is commerce. Honestly Claudia, do good to your own soul. Pushing for Christmas radio play will never maintain anything but a lot of shit wrapped in paper. I promise. I do n't know what happened, Jane, you know"
A,B,C,38,,COCA:2002:MOV Venus Boyz,"  0%:  / 100  remember my brother teasing me saying: "" Oh, we're gon na send you to Denmark "". when I was little because I was such a boy. They do n't want women looking like men. I think it makes them feel that they might be queer if they like a butch version. I would say that my male is say that my male is all drag queen and my female is all amazon. You know it's an everyday thing for me. When I take this off I do n't assume a different role. It's very hard to find anyone"
A,B,C,39,,COCA:2002:MOV Venus Boyz,"  0%:  / 100  n't think so. I think that the world is changing. That's me and my mum. This believe it or not is my father. There's my father after he joined the navy. (poem color I was very fortunate to grow up in a queer environment. My mother is a lesbian, my father was bisexual. So father was bisexual. So I remember when I was a child and I saw a man and woman kissing in a movie it seemed so strange and unnatural for me. Because what I knew was lesbians and gay men, relating with each"
A,B,C,40,,COCA:2002:MOV Lone Star State of Mind,"  0%:  / 100  when I was young. Keep an eye on this one. He might steal that cute thing away from you. I ai n't gon na steal Earl's gal. How many times do I have to tell I'm gay. No, Gramps, I'm queer. - Hey, Earl. - Hey, Flossie. - Forget it Flossie. - Forget it. - Baby. - Flossie. - Earl? Sheriff Andy wants to ask you a few questions about the shooting. You better come along too, Baby. You think? - So Jimbo, what about"
A,B,C,41,,COCA:2002:MOV Manna from Heaven,"  0%:  / 100  faith is an inspiration, Dottie. Certainly things have dropped from heaven before, and no doubt, will drop again. But, in this case, I believe God had emissaries. It's our job to it ever dawn on you people... there was something queer about all that dough? - What do you mean? - It dawned mean? - It dawned on me. The cops did n't cordon off the neighborhood. Did n't bang on our doors and give us 24 hours to turn it in. That was a lot of moolah. And nobody came after it"
A,B,C,42,,COCA:1997:MOV As Good as It Gets,"  0%:  / 100  and one week later there's a smell from a decaying human body, and you have to hold a hanky to your face because of the stench. Even then, do n't come knocking. Or if it to celebrate, because some fudge-packer was elected the first queer president. And he's going to have you down to Camp David, down to Camp David, and you want someone to share the moment with. Even then, do n't knock. Not on this door. Not for any reason. Do you get me, sweetheart? Yes. It's not a"
A,B,C,43,,COCA:1997:MOV Breast Men,"  0%:  / 100  your wife might be... You wan na step outside? Let me go,' cause I'm gon na whip his ass! - Calm down. - We can go right there... Calm down! Dr here. If you feel froggy, just jump! Queer. Myopic pretentious idiots. What did they say? Forget them. We ? Forget them. We do n't need their damned approval. What happened? You know what? We're gon na do it without them. How? With my money. With my money. You just go out there and find"
A,B,C,44,,COCA:1997:MOV Love! Valour! Compassion!,"  0%:  / 100  . - Tea time! Hey, Buzz, which one of them is it? It must be James. The grass is n't turning brown. - Just in time, James. - Mmm. - Mmm My brother gave me the most extraordinary book. '' Queer America - - from A to Zed. '' Am I in it? Am I in it? It gives the names of all the gay men and lesbians in this country. Every one from... Pocahontas... right up to someone called... Dan Rather? # You say "" Raw-ther, "" and I say"
A,B,C,45,,COCA:1997:MOV Orgazmo,"  0%:  / 100  this. Hey, you know, you did a good job in there, man. Thank you. Did you ever see that movie Clash of the Titans? Oh, with the Greek mythology and stuff? that. I don't wan na sound like a queer or nothin', but I think unicorns are kick-ass. What's that kick-ass. What's that? Oh, this is the Book of Mormon. It's another testament of Jesus Christ. - Oh, is it any good? - [Bell_Dings] Okay, people. Let's go. [Orbison] Action. Oh"
A,B,C,46,,COCA:1997:MOV Orgazmo,"  0%:  / 100  You're right. I think we've done enough damage to this little operation anyway. Farewell, evildoers. Whoa! Bummer, dude. What happened here? Some superhero destroyed the house. Oh. My . I don't mean to sound like a queer or nothing, but I think fire is very romantic. This is the romantic. This is the last of the bedroom stuff. Oh, great. [Horn_Honking] - Hey, kids. - Hi, Choda Boy. [All] ready to leave, huh? Yeah, I, uh -- I guess so. [Sighs]"
A,B,C,47,,COCA:1997:MOV Best Men,"  0%:  / 100  , I was sharing a foxhole with this guy and he started to come on to me. So, I do n't know.... I let him blow me. If you close your eyes, it's n't have to do that. You guys all going queer on me? I mean, Teddy, that I could understand but, I could understand but, come on! You know, sol, you do n't have to be a queer to fuck another man, right? What a sucker. assholes. A collection of assholes. - To Jesse. - To"
A,B,C,48,,COCA:1997:MOV Best Men,"  0%:  / 100  me. If you close your eyes, it's the same thing. You do n't have to do that. You guys all going queer on me? I mean, Teddy, that I could understand but , sol, you don't have to be a queer to fuck another man, right? What a sucker. assholes. A sucker. assholes. A collection of assholes. - To Jesse. - To Jess. To freedom. This place has n't changed since high school. You sure you want to go through with this, Jess? I've never been"
A,B,C,49,,COCA:1997:MOV Best Men,"  0%:  / 100  and you're not gon na fucking spoil it, get it? Got it? Fucking good! - How's it going? - The same. So, I take it they found out. What? Be all you can be, but don't be queer. What are you talking about? I'm talking about your gender preference talking about your gender preference. I think one of those bullets must have bounced off your head. Yeah? Look me in the eye, and tell me I'm wrong. You're full of shit. Am I? "" This"
A,B,C,50,,COCA:1997:MOV The Full Monty,"  0%:  / 100  you are. They bloody are, you know. They're holding hands. - They're never. - Straight up. I never even hold hands with ruddy lassies. Maybe I should. Ah, who eh? Ah, well. There's nowt as queer as folk. I said, '' There's nowt as queer as folk nowt as queer as folk ""! Shut up, Dave. It's supposed to be a bloody funeral. I'm sorry. -' Ey, look! Who's that? - It's that guy! Show us your pecs"
A,B,C,51,,COCA:1997:MOV The Full Monty,"  0%:  / 100  holding hands. - They're never. - Straight up. I never even hold hands with ruddy lassies. Maybe I should. Ah, who'd have ruddy thought it, eh? Ah, well. folk. I said, '' There's nowt as queer as folk ''! Shut up, Dave. It's supposed to be It's supposed to be a bloody funeral. I'm sorry. -' Ey, look! Who's that? - It's that guy! Show us your pecs! They were together in the paper, were n't they?"
A,B,C,52,,"COCA:1997:MOV Kiss Me, Guido","  0%:  / 100  A gay. A gay? I knew. I knew it. [Frankie], so you thought that I was... [Lisping] homosexual? You see? You do that good. Well, you know, [Frankie], U.S. Grade '' A '' 1 00% fuckin' queer. No! Yeah? Get the fuck outta here. [Knock_At_Door] You do here. [Knock_At_Door] You do n't got a problem with that, do you? [Knocking] [Frankie] Zito here? [Imitating_Frankie] Come in. We're having a party. - Hey, [Frankie]. - Joe, what are you doing here? I"
A,B,C,53,,"COCA:1997:MOV Kiss Me, Guido","  0%:  / 100  surprised you did n't fall down the fucking stairs. What is your problem? I told you I'm moving back in with you. - What about [Frankie]? - What about [Frankie]? He can still do Better than I thought. But he's not the queer, [Warren]. You are. Fuck you, [Dakota]. You're even [Dakota]. You're even starting to sound like him now. Do n't tell me. You're straight now too, right? Fuck you! You all right? You should have seen his face when he had to kiss me."
A,B,C,54,,COCA:1997:MOV L.A. Confidential,"  0%:  / 100  Nite Owl was your idea. I think it was Ray's idea. You talk, I think I can save your life. 6 people are dead, and someone has to pay for it. Now, it can be Ray. Louis, he called you queer. - At Casitas, you took it up the ass. - I the ass. - I did n't kill nobody! Son you know what'll happen if you do n't talk. You'll go to the gas chamber. So admit what you did. I did n't mean to hurt her. -"
A,B,C,55,,COCA:2000:MOV The Last of the Blonde Bombshells,"  0%:  / 100  - Do you know where you're going? - Of course I do. I do n't remember this tunnel. Oh, well. So, the Metropole Ballroom scene of our youthful happiness, is now a 'll eat ivy, too '' If the words sound queer And funny to your ear '' A little bit jumbled and jivey '' Sing jumbled and jivey "" Sing mares eat oats "" And does eat oats "" And little lambs eat ivy "" Mares eat oats and does eat oats And little lambs eat ivy "" A kid'll eat ivy, too Would n't you? I"
A,B,C,56,,COCA:2000:MOV Gladiator,"  0%:  / 100  Better now? Clean. You see? Proximo! My old friend. Every day is a great day when you are here... but today is your most fortunate day. Those giraffes you sold me, they walk around eating and not mating. You sold me queer giraffes. - I want my money back. - Not a chance. - Not a chance. I do special price for you. On what? Have you seen my new stock? Come and see them. Do any of them fight? I've got a match coming up. Some are good for"
A,B,C,57,,COCA:2000:MOV The Next Best Thing,"  0%:  / 100  know. When did she get married? She did n't. Who's the father? Actually, it's, uh, me. Abbie is pregnant with my child and your grandchild. Is she? Really a joke? What? - You're not really queer? - Lower your voice to a shriek. Of course I'm queer Of course I'm queer. It's just I'm having a baby as well. I'm confused. Well, I'm not. You're going to make a laughingstock of the family. A child needs a role model,"
A,B,C,58,,COCA:2000:MOV The Next Best Thing,"  0%:  / 100  the father? Actually, it's, uh, me. Abbie is pregnant with my child and your grandchild. Is she? Really? You mean it was all a joke? What? - You're your voice to a shriek. Of course I'm queer. It's just I'm having a baby as well. I'm as well. I'm confused. Well, I'm not. You're going to make a laughingstock of the family. A child needs a role model, someone to look up to. Well, I'll wear heels. If"
A,B,C,59,,COCA:2000:MOV Before Night Falls,"  0%:  / 100  life? We can make you disappear, or you could be free tomorrow. It's up to you. But, if you keep writing this, you're not going to get very far. I'm to make up your mind. It might take a queer more than five minutes to make up his mind while watching this handsome lieutenant while watching this handsome lieutenant stroke his magnificent organ. What do you say? Can I have some paper and a pen? All the work I've done until now is garbage. I quickly accused myself of being a villain, a"
A,B,C,60,,"COCA:2000:MOV South of Heaven, West of Hell","  0%:  / 100  "" shall be remanded and/or interned as per your wishes. "" Shall be remanded and/or interned as per your wishes. "" We respectfully await further instructions. Russell Alexander alger, United States secretary of war. "" see it. Fact of business, it's downright queer. Aaaah! Aaah! It appears your war department friend's been relieved department friend's been relieved of a tooth, leland. Been relieved of a tooth, leland. How are you, Mr. otts? Ohh! You must be feeling enormous relief, agent otts. Do n't speak to me now"
A,B,C,61,,"COCA:2000:MOV South of Heaven, West of Hell","  0%:  / 100  , val. I sure would n't want to go back up there and stand trial without ya. Oh, I surely would n't. Oh, I surely would n't. You know an odd thing, val letter about you bein' dead? That's downright queer. What do you make of that, val? I don't know ? I do n't know if I'm certain of my existence, Taylor. Only my intentions. Can you make it out here? I do n't know if I can. I mean, I want to, but I'm hurt"
A,B,C,62,,COCA:2000:MOV Bedazzled,"  0%:  / 100  up, walk over and say hello to her. She's with somebody. I'll catch up with her tomorrow. Yeah. Oh! Come on, [Elliot]. Come clean here. You have never spoken Of course I have. - Did I say '' queer '' earlier? - Oh, you are pathetic, [Elliot]. Really, , [Elliot]. Really, you're pathetic. Okay. I guess you guys are just not gon na let me relax until I go over there and say hello. - [All_Murmuring_Agreement] - Wow. That'll make you happy? You think"
A,B,C,63,,COCA:1999:MOV Tyrone,"  0%:  / 100  Morrison? Josh? Josh, you made it sound like you two did it in the shed. I ca n't fucking believe this. That little slut! Even she made it sound like you two did it s going on here, dude? You're not queer or anything, are you. I mean, I never had you pegged I never had you pegged as a pillow biter type, but... Yeah, I'm queer, motherfucker. Yo, fuck you, man, I've been with chicks before. Who? - Holly kind of sucked me off,"
A,B,C,64,,COCA:1999:MOV Tyrone,"  0%:  / 100  little slut! Even she made it sound like you two did it in the shed. What' s going on here, dude? You're not queer or anything, are you. I mean, I pillow biter type, but... Yeah, I'm queer, motherfucker. Yo, fuck you, man, I've been with , I've been with chicks before. Who? - Holly kind of sucked me off, once. - Holly kind of sucked you off once? How? With, like, a vacuum cleaner, or did she use her hands"
A,B,C,65,,COCA:1999:MOV Idle Hands,"  0%:  / 100  the Ford. Keeps me out of trouble. Idle hands are the devil's playground. Keep my hands busy. Yeah, that actually makes sense. Thanks. You're the coolest. So do you, n't take this the wrong way, but you look queer doing that. Randy broke it down for me. '' Idle hands are . "" Idle hands are the devil's playpen. "" So I'm thinking keep my hands occupied, right? Man, that saying's not literal. It's more like you know... Metaphorical? Right. This is the noise"
A,B,C,66,,COCA:1999:MOV Cruel Intentions,  0%:  / 100  before school starts. - She'll be my greatest victory. - You do n't stand a chance. - Care to make a wager? - I'll think about it. Duty calls. Dr. Greenbaum exciting entry. Your journal... Could you be more queer? Could you be more desperate to read it? Sebastian... Could you ? Sebastian... Could you come here for a second? About that little wager of yours... Count me in. What are the terms? If I win... - Your hot little car is mine. - And if I win?
A,B,C,67,,COCA:1999:MOV Mickey Blue Eyes,"  0%:  / 100  , Godfather I, ll, Ill.... Jesus Christ, it talks? With an accent, no less. What is that? It's like a little recorder thing. Got it off some British asshole Come for one of the famous steaks? Is something queer going on? Is this in any way connected to that FBI business? to that FBI business? Philip, I ca n't explain at the moment. What was going on at the auction last night? Why did you keep saying "" ha ""? We were worried about you. I'll have to explain"
A,B,C,68,,COCA:1999:MOV Summer of Sam,"  0%:  / 100  . Gim me the money. Let's go. Come on, come on, come on. This money better not be sticky, either. There you go. Thank you. The Post said the killer you. You could be the killer..44 caliber queer. - A real homo-cidal maniac. - Pow! Pow! He's ! Pow! He's guilty! Put him through the penal system. Only if I can have you as my cellmate. How' bout that, motherfucker? (BOBBYSCREAMS) You fucking asshole! I hate you! Do n't burn"
A,B,C,69,,COCA:1999:MOV Summer of Sam,"  0%:  / 100  . My friend works there. He also does porno flicks. Did you know that about your friend? What else do n't you know about this pervert? It does n't make him the Son of Sam' . Killer, fag, pimp, punk rocker. Queer, pervert, homo, degenerate. Whatever the fuck it is. Who fuck it is. Who wants something like that around here anyway? He's your friend? Do n't you wan na know what's going on? Soon as he calls, I'm gon na have a talk with that guy."
